This file was created by CMPT_ME_PRIOR_RETS using the 202006 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -60 to -13.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
193101  22.46  11.53  19.58   4.79   8.17   5.12
193102  16.30  18.09  12.96  12.78   6.74  11.63
193103  -4.21  -8.45 -10.87  -2.99 -10.42  -4.90
193104 -16.73 -15.02 -17.05 -12.48 -10.74  -8.88
193105 -13.60 -13.30 -17.61 -22.92 -12.68 -13.25
193106  16.45  21.27  22.24  26.48  15.64  13.96
193107  -4.30  -8.08  -9.62  -3.82  -7.46  -6.90
193108  -7.39   1.85  -1.80  -1.49   0.41  -0.19
193109 -32.98 -34.78 -31.39 -41.10 -28.72 -28.44
193110   9.75  10.28   8.40  23.95   6.44   8.53
193111  -9.66  -9.43  -8.40  -5.24 -11.83  -8.42
193112 -21.00 -23.45 -18.74 -21.68 -16.35 -11.70
193201  12.55  13.20   5.21   3.53   1.61  -2.67
193202   0.55   3.22  -0.29   5.89   1.06   6.98
193203 -11.49 -12.09 -12.93  -9.97 -11.11 -11.09
193204 -18.45 -18.10 -16.49 -16.83 -15.29 -19.50
193205 -15.43 -25.36 -30.01 -14.73 -21.74 -19.85
193206   3.37   6.54  14.18   5.76   5.91  -2.33
193207  49.10  48.18  44.31  63.04  43.81  32.87
193208  84.05  71.61  61.09  54.06  43.95  32.86
193209 -11.88  -9.35  -2.27  -8.25  -5.80  -1.66
193210 -21.83 -15.74 -10.93 -17.49 -16.78 -11.91
193211  -8.38  -7.89  -5.54 -14.89  -8.88  -5.19
193212  -9.48  -5.18  -4.48  -5.89  -1.10   6.57
193301   3.81   3.66   8.65  10.49   3.78   1.00
193302 -18.57 -19.83 -20.55 -23.30 -17.20 -14.49
193303  13.97  15.36   5.24   6.14   8.42   2.05
193304  62.79  54.75  37.86  77.65  60.30  29.69
193305  94.11  63.03  56.10  43.82  26.75  15.86
193306  27.89  17.94  17.49  20.28  18.47  10.11
193307  -8.87 -12.66 -10.82  -9.06 -11.13  -8.11
193308   9.57   9.66  11.72  17.74  18.07  10.01
193309 -21.89 -17.27  -7.13 -20.98 -13.40  -7.60
193310 -13.21 -13.01 -10.70 -16.44 -11.92  -6.73
193311   7.06   5.23   4.19  10.23  15.50   8.54
193312  -1.13   2.31   1.50   2.70   4.25   0.82
193401  48.36  33.03  16.48  30.56  16.05   8.54
193402   3.02   1.61  -0.46  -1.98  -3.01  -2.22
193403   0.35   0.89   4.00   0.87  -0.41   0.32
193404  -2.83   0.96   1.71  -3.67  -4.38  -0.13
193405 -15.18 -11.42  -5.76 -11.17 -10.39  -5.50
193406  -4.13   0.70   1.89   0.17   2.02   3.24
193407 -26.20 -21.37 -20.10 -26.91 -13.72  -6.14
193408  13.99  11.61  10.35  11.74   5.73   4.57
193409  -2.29  -1.20  -1.59   0.51   0.11  -0.23
193410  -2.88  -1.60  -2.24  -7.79  -3.49  -0.24
193411  15.77  15.42  11.18   8.19  10.25   6.99
193412   0.64   2.33   1.95  -2.37  -0.16   0.47
193501  -3.44  -4.10  -5.09  -8.38  -4.19  -2.52
193502  -9.27  -8.91  -3.47 -11.68  -2.26  -0.32
193503 -11.59  -8.76 -11.09  -4.41  -2.55  -3.98
193504  14.14  10.14  10.24  14.48  10.49   7.40
193505   4.12   0.80   2.35   5.03   4.42   2.61
193506   0.24   6.85   2.67   8.35   5.83   5.73
193507  15.21  13.36   5.48  15.86   6.55   6.14
193508  16.93   4.78   3.86   8.92   1.62   2.30
193509   2.60   6.91   1.05   0.96   3.13   2.41
193510  11.15  10.61   5.01  11.56   6.44   6.28
193511  19.17  10.64  10.97  10.03   5.08   3.02
193512   4.52   7.67   6.48   7.64   4.04   2.93
193601  23.97  10.17   6.50  11.26   6.37   4.03
193602   6.97   7.52   4.66   2.34   3.12   1.06
193603  -0.13   1.57   2.27  -0.28   1.76   0.48
193604 -17.92 -13.29  -8.70 -10.67  -8.43  -5.94
193605   7.10   6.23   3.70   7.94   4.99   4.87
193606  -2.96   0.70   1.02   1.85   2.98   2.57
193607   9.99   9.28   6.53  12.29   5.65   6.40
193608   2.46   3.61   0.25   2.39   1.40  -0.09
193609   4.27   4.90   1.79  -1.22   0.15   3.04
193610   6.83   7.49   4.82   6.97   8.61   5.68
193611   9.74  13.21   9.12  -0.80   2.92   4.07
193612   6.64   5.53   1.38  -1.07   1.70  -2.69
193701   9.84   8.96  10.11   5.70   2.54   3.11
193702   3.28   5.62   2.34   0.97   0.39   2.58
193703  -0.26  -1.71  -0.08  -1.54  -0.43   1.92
193704 -12.72  -9.91 -10.22  -6.87  -6.45  -9.21
193705  -4.01  -2.18  -1.04  -1.78  -0.86   0.77
193706 -10.60  -8.52  -8.38  -2.21  -4.04  -5.82
193707  10.86   9.72  12.52   8.60   8.99   9.33
193708  -5.32  -5.09  -3.84  -6.08  -5.45  -3.31
193709 -24.90 -22.33 -20.05 -15.43 -12.37 -13.21
193710 -10.53  -9.45 -12.09  -9.36  -7.97 -12.44
193711 -12.09 -12.68 -11.69  -5.00  -7.45 -11.03
193712 -13.28 -11.98 -14.42  -4.51  -2.56  -5.47
193801   4.76   6.20   5.40   0.06   0.83  -0.16
193802   5.81   6.94   9.01   3.52   6.53   7.67
193803 -31.16 -29.83 -35.59 -19.18 -25.07 -30.63
193804  24.85  20.82  26.25  13.48  13.53  18.70
193805  -8.09  -7.86  -9.79  -0.35  -4.25  -6.29
193806  31.98  32.82  40.99  17.39  21.71  33.08
193807  14.38  14.38  17.41   5.19   6.48   8.10
193808  -9.71  -8.23  -4.73  -4.01  -1.84  -2.70
193809  -2.32  -2.26  -2.72  -0.26   1.18   1.26
193810  20.10  15.94  15.60  14.50   5.97   7.88
193811  -6.64  -3.89  -4.37  -5.84  -0.83  -2.21
193812   0.57   6.26   4.48   5.34   4.13   4.13
193901  -9.71  -8.49  -7.98  -6.05  -5.94  -5.73
193902   4.77   4.83   4.53   7.33   3.65   2.87
