This file was created by CMPT_PRIOR_RETS_DAILY using the 201507 CRSP database.
It contains value- and equally-weighted returns for  10 prior return portfolios.

The portfolios are constructed daily.  PRIOR_RET is from - 250 to - 21.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19261103,  -0.12,   0.58,  -0.09,   0.30,  -0.49,  -0.23,  -0.12,   0.42,   0.12,   1.28
19261104,   0.65,   1.38,   1.58,   0.57,   1.01,   0.70,   0.81,   0.44,   0.47,   0.40
19261105,  -0.84,  -0.75,  -0.20,  -0.15,  -0.03,   0.11,  -0.13,   0.36,   0.20,   0.08
19261106,   1.03,   0.29,   0.26,   0.37,   0.18,   0.64,   0.10,   0.09,   0.40,  -0.68
19261108,  -0.03,   0.07,   1.80,   0.28,   0.31,   0.25,   0.30,   1.17,   0.58,  -0.18
19261109,   1.07,   0.92,   0.44,  -0.34,   0.41,   0.09,  -0.06,  -0.11,   0.13,   0.54
19261110,   2.05,  -1.05,  -0.37,  -0.41,  -1.04,  -1.22,  -0.58,  -0.55,  -0.43,  -0.66
19261111,   0.60,   1.20,   2.38,   0.63,   0.46,   0.81,   0.54,   0.57,   0.45,   0.58
19261112,  -0.57,  -0.47,   1.44,   0.32,   0.69,   0.49,   0.23,   0.25,   0.26,  -0.24
19261113,   0.17,  -0.04,  -0.70,  -0.28,  -0.06,  -0.49,  -0.09,  -0.32,  -0.01,  -0.49
19261115,   2.53,   0.14,   0.18,   0.13,   0.53,   0.74,  -0.01,   0.55,   0.33,   0.33
19261116,  -0.16,   0.85,  -0.13,   0.93,   0.12,  -0.23,   0.67,  -0.14,   0.00,   0.43
19261117,  -2.84,   0.12,  -0.28,  -0.02,  -0.24,  -0.34,  -0.50,  -0.50,  -0.11,  -0.40
19261118,  -2.20,  -0.68,  -0.60,  -0.80,  -0.31,  -1.06,  -0.20,  -0.39,  -0.33,  -0.41
19261119,  -0.30,  -0.93,  -0.61,  -0.65,  -0.18,  -0.98,  -0.87,  -0.53,  -0.35,  -0.92
19261120,   1.89,   0.94,  -0.08,   1.19,   0.19,   0.61,   0.45,   0.31,   0.56,  -0.08
19261122,   0.04,   2.00,   0.52,   0.85,   0.30,   0.73,   0.47,   0.42,   0.69,   0.80
19261123,   0.12,  -0.08,   0.54,   0.10,   0.66,   0.42,   0.36,   0.22,   0.56,   0.81
19261124,   1.54,   0.59,  -0.02,   0.26,   0.25,   0.04,   0.15,   0.12,   0.19,  -0.70
19261126,   0.02,   0.58,   0.28,  -0.29,   0.32,  -0.20,   0.46,   0.08,   0.49,   0.15
19261127,   0.18,  -0.42,  -0.54,  -0.91,  -0.04,   0.15,  -0.21,  -0.13,  -0.17,   0.04
19261129,  -1.74,  -0.49,  -0.48,  -0.65,  -0.11,  -0.03,  -0.19,  -0.09,  -0.59,  -0.75
19261130,   1.16,   0.23,   0.01,   0.96,   0.36,   0.30,   0.53,  -0.02,   0.38,   0.28
19261201,   0.87,   0.04,   0.75,   0.66,   0.71,   0.60,   0.07,   0.19,   0.31,   0.62
19261202,   0.83,   0.21,   1.60,   0.39,   0.60,   0.81,   0.32,   0.50,   0.50,   0.52
19261203,   1.23,   0.79,   1.36,   0.64,   0.23,  -0.49,  -0.05,   0.17,   0.15,   1.37
19261204,   0.13,  -0.23,  -0.42,  -0.43,  -0.39,  -0.11,   0.14,  -0.13,  -0.30,  -0.19
19261206,  -0.87,  -0.06,   0.01,  -0.28,   0.13,   0.37,   0.04,   0.09,   0.05,   0.04
19261207,   2.34,  -0.52,  -0.85,   0.02,  -0.09,  -0.39,  -0.38,   0.02,   0.06,   0.40
19261208,   0.48,   0.24,   0.15,   0.03,  -0.25,  -0.56,   0.28,   0.03,  -0.01,  -0.03
19261209,   1.11,   0.52,   0.56,   0.36,   0.49,   0.63,   0.32,   0.38,   0.51,   0.33
19261210,  -0.01,   0.16,   0.45,   0.62,   0.76,   0.37,   0.27,   0.26,   0.41,   0.37
19261211,  -0.18,   0.09,   0.79,  -0.12,   0.38,   0.30,   0.28,   0.06,  -0.11,  -0.20
19261213,   1.50,   0.38,   2.13,   0.64,   0.16,   0.09,   0.01,   0.32,   0.09,   1.50
19261214,  -0.27,   0.69,  -0.70,  -0.26,   0.10,  -0.07,  -0.13,   0.21,   0.32,   0.41
19261215,  -0.57,   0.10,  -0.05,   0.42,  -0.04,   0.59,   0.29,   0.03,   0.24,  -0.14
19261216,  -1.23,  -1.13,  -0.61,  -1.21,  -0.58,  -0.51,  -0.33,  -0.38,  -0.48,  -1.10
19261217,   0.71,   0.12,   0.99,   0.18,   0.87,   0.53,   1.01,   1.44,   1.31,   0.40
19261218,   0.66,   0.62,   0.81,   0.10,   0.33,   0.26,   0.31,   0.50,   0.35,   0.84
19261220,  -0.82,  -1.07,  -0.68,  -0.22,   0.02,  -0.47,  -0.15,  -0.29,  -0.38,  -0.43
19261221,   0.59,  -0.41,  -0.28,  -0.78,  -0.12,   0.13,   0.12,  -0.12,  -0.16,   0.55
19261222,   2.77,  -0.45,   0.15,  -0.80,   0.27,   0.14,  -0.29,  -0.09,  -0.16,   0.27
19261223,   1.29,   0.02,  -0.18,   0.38,   0.02,   0.26,   0.23,   0.06,   0.78,   0.52
19261224,  -0.55,   0.00,   0.50,   0.73,   0.45,   0.06,   0.04,  -0.20,   0.29,   1.44
19261227,   0.41,  -0.61,  -0.57,   0.11,  -0.45,  -0.30,  -0.17,  -0.18,  -0.31,  -0.02
19261228,  -2.08,  -1.85,  -1.57,  -1.46,  -1.09,  -1.23,  -0.64,  -1.20,  -0.99,  -1.33
19261229,   2.96,   0.03,   0.81,   0.41,   0.21,   0.35,   0.28,   0.58,   0.39,   0.89
19261230,   0.30,   0.19,  -1.01,   0.19,  -0.62,  -0.60,  -0.26,  -0.09,  -0.13,  -0.80
19261231,   1.30,   0.34,   1.21,   0.43,   0.47,   0.34,   0.79,   0.18,   0.29,  -0.47
19270103,   0.11,  -2.50,  -0.97,  -0.41,  -0.36,  -0.87,  -0.45,  -0.91,  -1.00,  -1.53
19270104,   1.67,   0.20,   0.57,  -0.04,   0.18,   0.26,   0.25,   0.59,  -0.02,   1.05
19270105,   1.21,   1.09,   0.21,   0.29,   0.16,   0.28,   0.06,   0.03,  -0.03,   0.08
19270106,  -1.00,   0.76,  -0.15,  -0.66,  -0.95,  -0.07,  -0.15,   0.03,  -0.07,  -0.11
19270107,  -0.43,   0.00,   0.02,   0.04,   0.14,   0.29,   0.32,   0.55,   0.48,   0.43
19270108,   1.23,   0.55,   0.70,  -0.22,   0.24,   1.13,   0.20,   0.27,   0.23,   0.56
19270110,   0.39,  -0.09,   0.60,   0.27,   0.06,  -0.24,   0.22,   0.50,   0.34,   0.23
19270111,  -1.12,  -0.25,  -0.22,  -0.31,  -0.42,  -0.24,  -0.20,  -0.13,  -0.17,  -0.73
19270112,  -2.17,  -0.48,  -0.20,   0.45,  -0.14,   0.38,   0.07,  -0.05,   0.13,   0.16
19270113,   0.03,  -0.29,  -0.11,   1.15,   0.06,  -0.26,  -0.13,  -0.15,  -0.04,  -0.44
19270114,  -0.79,  -0.82,  -0.39,   0.14,  -0.09,   0.20,   0.00,   0.18,   0.48,  -0.41
19270115,   0.22,  -0.26,  -0.97,  -0.04,   0.33,   0.11,   0.24,   0.26,   0.30,  -0.04
19270117,  -1.79,  -0.73,   0.90,   0.04,  -0.21,   0.12,   0.15,   0.08,  -0.16,  -0.73
19270118,   0.29,   0.53,  -0.55,   0.25,  -0.19,  -0.01,  -0.13,  -0.08,   0.04,  -0.15
19270119,   1.59,   0.60,   1.54,   0.46,   0.94,   0.29,   0.31,   0.72,   0.58,   1.21
19270120,  -0.40,  -0.35,  -0.21,  -0.20,  -0.75,  -0.24,  -0.17,   0.11,  -0.15,   0.10
19270121,   0.20,   1.87,  -0.48,  -0.09,  -0.26,   0.22,   0.18,  -0.13,  -0.15,   0.18
19270122,  -0.06,  -0.54,  -1.75,  -0.58,  -0.40,  -0.14,  -0.11,  -0.26,  -0.16,  -0.82
19270124,  -0.44,  -0.79,  -0.66,  -0.74,  -0.20,  -0.55,  -0.34,  -0.34,  -0.57,  -0.64
19270125,  -2.62,  -0.80,  -0.97,  -1.19,  -1.01,  -0.40,  -1.18,  -1.91,  -1.31,  -0.51
19270126,  -0.75,   0.36,   0.38,  -0.04,   0.21,   0.05,   0.10,   0.35,   0.32,   0.63
19270127,   0.27,   0.97,  -0.86,  -0.13,  -0.66,  -0.17,  -0.40,  -0.56,  -0.40,  -0.01
19270128,   0.54,   0.28,   0.07,   0.13,  -0.08,   0.14,   0.16,   0.41,   0.13,   0.39
19270129,  -0.64,   0.72,   0.86,   0.43,   0.13,   0.52,   0.74,   1.23,   0.86,   1.49
19270131,  -0.93,   0.53,   0.58,   0.46,   0.49,   0.65,   0.36,   0.50,   0.67,   1.18
19270201,   1.28,   0.03,  -0.09,   0.14,   0.09,   0.25,  -0.20,  -0.17,  -0.10,  -0.10
19270202,   0.09,   0.32,   1.47,   0.57,   0.53,   0.63,   0.65,   0.61,   0.77,   1.30
19270203,  -0.14,   0.10,  -0.47,   0.39,   0.16,   0.20,   0.52,   0.13,   0.16,   0.52
19270204,   0.70,   0.03,   2.82,   0.19,   0.45,   0.01,   0.25,   0.16,   0.18,  -0.15
19270205,   0.31,  -0.06,  -0.17,  -0.15,  -0.01,  -0.29,  -0.21,  -0.02,  -0.08,  -0.36
19270207,   0.28,   1.43,  -0.44,  -0.79,   0.13,  -0.05,  -0.25,  -0.10,   0.12,  -0.08
19270208,   0.95,   1.03,  -0.34,  -0.20,   0.17,  -0.04,   0.43,   0.08,   0.18,  -0.14
19270209,   0.66,   0.21,   0.21,   0.02,  -0.11,   0.05,  -0.18,   0.10,   0.55,  -0.25
19270210,   0.18,   0.09,   0.53,  -0.01,  -0.17,   0.07,   0.28,   0.50,  -0.40,   0.11
19270211,   0.10,   0.51,   0.60,   0.28,   0.00,   0.06,   0.60,   0.97,   0.29,   0.38
19270214,  -0.08,   0.47,   0.62,   0.53,   0.58,   0.44,   0.25,   0.24,   0.50,   1.33
19270215,  -0.69,   0.46,  -0.31,   0.38,   0.41,   0.53,  -0.36,   0.01,   0.21,  -0.22
19270216,   0.16,   0.26,  -0.69,  -0.16,  -0.06,   0.26,   0.01,   0.42,  -0.05,  -0.55
19270217,   0.85,   0.11,  -0.81,   0.38,   0.02,   0.43,   0.60,   0.54,   0.10,   0.63
19270218,  -1.15,  -0.35,   0.00,   0.04,   0.28,   0.68,   0.54,   0.08,   0.24,   0.20
19270219,   2.89,   0.10,  -0.37,  -0.13,  -0.05,  -0.01,   0.11,   0.36,  -0.16,  -0.01
19270221,  -0.06,  -0.32,   0.05,   0.22,   0.17,  -0.27,  -0.60,   0.11,  -0.45,   0.00
19270223,   1.17,   1.38,   0.40,   1.02,   0.61,   0.30,   0.70,   1.05,   0.88,   1.59
19270224,  -0.64,   0.57,   0.34,  -0.08,   0.31,   0.04,   0.12,   0.38,  -0.10,   0.21
19270225,   1.13,   0.97,   0.28,   0.34,   0.12,   0.58,  -0.07,   0.09,  -0.13,   0.70
19270226,  -0.12,   0.34,   0.07,  -0.01,   0.07,   0.03,  -0.02,  -0.10,   0.04,   0.59
19270228,  -0.12,   0.74,   0.24,   0.49,  -0.10,   0.41,   0.24,   0.40,   0.84,   2.42
19270301,  -0.94,  -0.56,  -0.72,  -1.02,  -0.09,  -0.21,  -0.20,  -0.26,  -0.60,  -0.42
19270302,  -0.97,  -0.81,  -1.25,  -0.90,  -1.13,  -0.63,  -1.14,  -1.16,  -1.28,  -2.26
19270303,   0.45,   0.45,   0.40,   0.83,   0.71,   1.32,   0.81,   0.84,   1.13,   2.41
19270304,   0.44,  -0.35,  -0.23,  -0.46,  -0.28,  -0.83,  -0.35,  -0.46,  -0.34,  -0.46
19270305,   0.75,  -0.71,  -0.56,   0.16,   0.03,  -0.27,  -0.40,  -0.11,  -0.56,  -0.54
19270307,  -0.63,  -0.58,  -0.68,  -0.59,  -0.62,  -0.33,  -0.12,  -0.20,  -0.31,  -0.19
19270308,  -1.06,   0.37,  -0.08,   0.06,   0.13,  -0.08,   0.06,   0.22,   0.17,   0.87
19270309,   0.42,  -0.38,   0.87,   0.50,   0.50,   0.08,   0.34,   0.71,   0.82,   1.04
19270310,  -0.09,   0.69,   0.90,   0.20,   0.23,   0.12,   0.90,   0.42,   1.31,   0.37
19270311,   0.70,   0.21,  -1.02,   0.64,   0.14,   0.21,   0.58,   0.28,   0.10,  -0.01
19270312,   0.39,   0.94,   0.04,  -0.02,  -0.01,   0.12,  -0.33,   0.00,  -0.22,   0.10
19270314,  -0.30,  -0.82,  -0.44,   0.52,   0.06,  -0.08,   0.40,  -0.27,   0.06,   1.77
19270315,  -0.47,  -0.78,  -1.08,  -0.77,  -0.84,  -0.50,  -1.14,  -0.93,  -0.73,  -0.95
19270316,  -0.76,   0.39,   0.27,   0.41,   0.66,   1.88,   0.57,   1.00,   0.69,   2.23
19270317,   0.19,  -0.22,   0.04,   0.69,   0.65,   0.73,   0.66,   0.16,   0.49,   0.02
19270318,  -0.24,  -0.38,  -0.54,  -0.79,  -0.71,  -1.21,  -0.84,  -0.94,  -0.56,  -0.33
19270319,   1.64,  -0.27,   0.02,  -0.17,  -0.16,   0.37,   0.08,  -0.04,  -0.08,   0.18
19270321,  -2.00,  -0.20,   0.24,   0.10,   0.17,   0.23,   0.35,   0.26,   0.66,  -0.09
19270322,  -1.42,  -0.22,  -0.89,  -0.77,  -0.84,  -0.68,  -1.20,  -0.99,  -1.32,  -2.43
19270323,   0.21,   0.12,   0.08,   0.08,   0.36,   0.21,   0.19,   0.14,   0.74,  -0.05
19270324,  -0.33,   0.11,   0.63,   0.80,   0.58,   0.38,   0.85,   0.85,   0.83,   1.27
19270325,  -0.95,   0.26,   0.07,   0.33,   0.08,   0.22,   0.07,  -0.05,   0.20,   0.55
19270326,   0.27,   0.45,   0.97,  -0.20,   0.04,   0.89,   0.04,   0.14,   0.25,   0.80
19270328,  -0.06,   0.26,  -0.02,   0.07,   0.54,   0.50,   0.26,   0.56,   0.63,   1.65
19270329,  -0.60,  -0.59,  -0.51,  -0.54,  -0.49,  -0.27,  -0.29,  -0.18,   0.28,   0.32
19270330,   0.57,  -1.48,  -1.04,  -0.55,  -0.39,  -0.39,  -0.47,  -0.71,  -0.38,  -0.83
19270331,  -0.97,   0.77,   0.05,   0.33,   0.43,   0.26,   0.24,   0.13,   0.76,   0.16
19270401,   0.17,  -0.61,  -0.66,   0.06,   0.24,  -0.06,  -0.05,   0.28,  -0.13,   0.04
19270402,   0.66,  -0.67,  -0.25,  -0.10,   0.28,   0.05,   0.18,  -0.35,   0.00,  -0.52
